No,ID Transaksi,Tgl Operasional,Waktu Masuk,Waktu Selesai,Ruangan,Durasi (Menit),Tarif Room/Jam,Biaya Room (Rp),Biaya F&B Riil (Rp),Biaya LC (Rp),Diskon Promo (Rp),Grand Total (Rp),Metode Bayar,Status Bayar,Kasir,ID Order F&B,Catatan Audit
1,TRX-20260813003222955-F5E5D198,2026-08-12,2026-08-12 23:18:40,2026-08-13 00:32:16,Ruangan 4 - VIP 4,120,135000,270000,591000,875000,0,1736000,TRANSFER,PAID,Kasir 1,"FNB-20260812-232029-387,FNB-20260812-232459-665,FNB-20260812-232856-451,FNB-20260813-000410-133",
2,TRX-20260812235316805-E4CAFC76,2026-08-12,2026-08-12 22:03:31,2026-08-12 23:53:08,Ruangan 3 - VIP 3,120,125000,250000,290000,625000,0,1165000,,UNPAID,Kasir 1,"FNB-20260812-221226-792,FNB-20260812-233339-402,FNB-20260812-235046-847",
3,TRX-20260812220721870-690E7BBB,2026-08-12,2026-08-12 20:56:52,2026-08-12 22:07:17,Ruangan 1 - VIP 1,120,125000,0,0,125000,250000,125000,TRANSFER,PAID,Admin 1,,
4,TRX-20260812160242769-A41EEF69,2026-08-12,2026-08-11 23:39:13,2026-08-12 16:02:38,Ruangan 9 - EXECUTIVE ,120,185000,1000000,425000,500000,0,1925000,,UNPAID,Manager 1,"FNB-20260811-234021-349,FNB-20260812-004451-736",
5,TRX-20260812160010301-92C34838,2026-08-11,2026-08-12 00:24:30,2026-08-12 16:00:07,Ruangan 8 - VIP 8,120,135000,270000,350000,0,0,620000,,UNPAID,Manager 1,FNB-20260812-004235-669,
6,TRX-20260812155836492-C0AA2317,2026-08-11,2026-08-11 23:11:39,2026-08-12 15:58:31,Ruangan 7 - VIP 7,240,125000,500000,656000,0,0,1156000,,UNPAID,Manager 1,"FNB-20260811-234347-554,FNB-20260812-001650-970",
7,TRX-20260812155637582-5AA5FE2F,2026-08-11,2026-08-12 00:12:47,2026-08-12 15:56:34,Ruangan 4 - VIP 4,120,135000,270000,760000,0,0,1030000,,UNPAID,Manager 1,"FNB-20260812-001509-306,FNB-20260812-003720-345",
8,TRX-20260812154739880-76D7EFBE,2026-08-11,2026-08-12 00:22:01,2026-08-12 15:47:33,Ruangan 3 - VIP 3,120,125000,250000,270000,0,0,520000,,UNPAID,Manager 1,FNB-20260812-002246-42,
9,TRX-20260812154508032-ABAF768A,2026-08-11,2026-08-12 00:39:44,2026-08-12 15:45:04,Ruangan 2 - VIP 2,60,135000,135000,135000,0,0,270000,,UNPAID,Manager 1,FNB-20260812-004110-297,
10,TRX-20260812154234816-BEC44CDC,2026-08-11,2026-08-12 00:54:15,2026-08-12 15:42:31,Ruangan 1 - VIP 1,120,125000,250000,565000,0,0,815000,,UNPAID,Manager 1,FNB-20260812-005606-960,
