No,ID Order,Tgl Operasional,Waktu Pesan,Ruangan,Kode Menu,Nama Menu F&B,Kategori,Harga Satuan (Rp),Kuantitas (Qty),Subtotal (Rp),Status Order,Kasir Pemesan
1,FNB-20260813-000410-133,2026-08-13,2026-08-13 00:02:15,Ruangan 4 - VIP 4,MENU-035,Anggur Merah,Anggur,85000,2,170000,BILLED,Kasir 1
2,FNB-20260813-000410-133,2026-08-13,2026-08-13 00:02:15,Ruangan 4 - VIP 4,MENU-046,Sampoerna Menthol,Cigarette,60000,1,60000,BILLED,Kasir 1
3,FNB-20260812-235046-847,2026-08-12,2026-08-12 23:50:40,Ruangan 3 - VIP 3,MENU-043,Esse double click,Cigarette,65000,1,65000,BILLED,Kasir 1
4,FNB-20260812-235046-847,2026-08-12,2026-08-12 23:50:40,Ruangan 3 - VIP 3,MENU-096,Coca-Cola,Beverage,10000,1,10000,BILLED,Kasir 1
5,FNB-20260812-233339-402,2026-08-12,2026-08-12 23:33:32,Ruangan 3 - VIP 3,MENU-001,French Fries,Food,20000,1,20000,BILLED,Kasir 1
6,FNB-20260812-232856-451,2026-08-12,2026-08-12 23:28:53,Ruangan 4 - VIP 4,MENU-036,Intisari,Anggur,80000,1,80000,BILLED,Kasir 1
7,FNB-20260812-232856-451,2026-08-12,2026-08-12 23:28:53,Ruangan 4 - VIP 4,MENU-010,Airtis 600ml,Beverage,8000,2,16000,BILLED,Kasir 1
8,FNB-20260812-232856-451,2026-08-12,2026-08-12 23:28:53,Ruangan 4 - VIP 4,MENU-042,Esse Change,Cigarette,65000,1,65000,BILLED,Kasir 1
9,FNB-20260812-232459-665,2026-08-12,2026-08-12 23:24:53,Ruangan 4 - VIP 4,MENU-043,Esse double click,Cigarette,65000,1,65000,BILLED,Kasir 1
10,FNB-20260812-232029-387,2026-08-12,2026-08-12 23:20:25,Ruangan 4 - VIP 4,MENU-041,Pink Lady,Anggur,135000,1,135000,BILLED,Admin 1
11,FNB-20260812-221226-792,2026-08-12,2026-08-12 22:12:20,Ruangan 3 - VIP 3,MENU-041,Pink Lady,Anggur,135000,1,135000,BILLED,Admin 1
12,FNB-20260812-221226-792,2026-08-12,2026-08-12 22:12:20,Ruangan 3 - VIP 3,MENU-045,Sampoerna Mild Red,Cigarette,60000,1,60000,BILLED,Admin 1
13,FNB-20260812-005606-960,2026-08-12,2026-08-12 00:56:01,Ruangan 1 - VIP 1,MENU-033,Ice Land Vodca,Lokal,425000,1,425000,BILLED,Admin 1
14,FNB-20260812-005606-960,2026-08-12,2026-08-12 00:56:01,Ruangan 1 - VIP 1,MENU-100,Kratingdaeng,Beverage,35000,2,70000,BILLED,Admin 1
15,FNB-20260812-005606-960,2026-08-12,2026-08-12 00:56:01,Ruangan 1 - VIP 1,MENU-011,Airtis 330ml,Beverage,5000,1,5000,BILLED,Admin 1
16,FNB-20260812-005606-960,2026-08-12,2026-08-12 00:56:01,Ruangan 1 - VIP 1,MENU-043,Esse double click,Cigarette,65000,1,65000,BILLED,Admin 1
17,FNB-20260812-004451-736,2026-08-12,2026-08-12 00:44:47,Ruangan 9 - EXECUTIVE ,MENU-046,Sampoerna Menthol,Cigarette,60000,1,60000,BILLED,Admin 1
18,FNB-20260812-004451-736,2026-08-12,2026-08-12 00:44:47,Ruangan 9 - EXECUTIVE ,MENU-035,Anggur Merah,Anggur,85000,2,170000,BILLED,Admin 1
19,FNB-20260812-004451-736,2026-08-12,2026-08-12 00:44:47,Ruangan 9 - EXECUTIVE ,MENU-017,Bintang,Beer,70000,1,70000,BILLED,Admin 1
20,FNB-20260812-004235-669,2026-08-12,2026-08-12 00:42:30,Ruangan 8 - VIP 8,MENU-041,Pink Lady,Anggur,135000,2,270000,BILLED,Admin 1
21,FNB-20260812-004235-669,2026-08-12,2026-08-12 00:42:30,Ruangan 8 - VIP 8,MENU-046,Sampoerna Menthol,Cigarette,60000,1,60000,BILLED,Admin 1
22,FNB-20260812-004235-669,2026-08-12,2026-08-12 00:42:30,Ruangan 8 - VIP 8,MENU-012,Jus Alpukat,Beverage,20000,1,20000,BILLED,Admin 1
23,FNB-20260812-004110-297,2026-08-12,2026-08-12 00:41:05,Ruangan 2 - VIP 2,MENU-041,Pink Lady,Anggur,135000,1,135000,BILLED,Admin 1
