No,Kode Menu,Nama Menu,Kategori,Harga Satuan (Rp),Total Terjual (Qty),Total Omzet (Rp),Jumlah Order
1,MENU-010,Airtis 600ml,Beverage,0,126,1008000,53
2,MENU-035,Anggur Merah,Anggur,0,89,7565000,54
3,MENU-043,Esse double click,Cigarette,0,79,5135000,68
4,MENU-045,Sampoerna Mild Red,Cigarette,0,48,2880000,43
5,MENU-046,Sampoerna Menthol,Cigarette,0,43,2580000,37
6,MENU-096,Coca-Cola,Beverage,0,40,400000,19
7,MENU-017,Bintang,Beer,0,37,2590000,24
8,MENU-039,Atlas Leci,Anggur,0,28,3360000,19
9,MENU-042,Esse Change,Cigarette,0,28,1820000,28
10,MENU-100,Kratingdaeng,Beverage,0,21,485000,6
11,MENU-036,Intisari,Anggur,0,17,1360000,13
12,MENU-006,Mix Snack Pletter,Food,0,17,765000,16
13,MENU-021,Guinnes Stout,Beer,0,16,1200000,13
14,MENU-001,French Fries,Food,0,16,320000,15
15,MENU-002,Fruit Pletter,Food,0,15,525000,14
16,MENU-041,Pink Lady,Anggur,0,13,1745000,9
17,MENU-011,Airtis 330ml,Beverage,0,12,60000,6
18,MENU-019,Draft beer,Beer,0,8,560000,5
19,MENU-032,Captain Morgan,Lokal,0,7,3500000,7
20,MENU-038,Anggur Putih,Anggur,0,7,665000,6
21,MENU-051,Magnum Filter,Cigarette,0,6,270000,5
22,MENU-012,Jus Alpukat,Beverage,0,5,100000,3
23,MENU-099,Sprite,Beverage,0,5,50000,4
24,MENU-022,Alben Cider,Beer,0,4,280000,2
25,MENU-101,Avolution Merah,Cigarette,0,4,260000,4
26,MENU-050,Filter,Cigarette,0,4,180000,4
27,MENU-013,Jus Jeruk,Beverage,0,4,80000,1
28,MENU-033,Ice Land Vodca,Lokal,0,3,1275000,3
29,MENU-044,Esse Juice,Cigarette,0,3,195000,3
30,MENU-098,Djarum Super,Cigarette,0,3,120000,3
31,MENU-008,Es teh manis,Beverage,0,3,30000,3
32,MENU-029,Singleton 12 GO,Single Malt,0,2,2100000,1
33,MENU-030,Jack Daniels,American Whisky,0,2,1500000,2
34,MENU-097,Jameson,Spirit,0,2,1300000,2
35,MENU-034,Batavia Whisky,Lokal,0,2,1000000,2
36,MENU-040,Abidin,Anggur,0,2,290000,2
37,MENU-016,Angker,Beer,0,2,140000,2
38,MENU-005,Sosis,Food,0,2,50000,2
39,MENU-023,Hennesy Vsop,Cognac,0,1,1500000,1
40,MENU-028,JW Black Label,Blended,0,1,600000,1
41,MENU-025,Alva,Vodca,0,1,550000,1
42,MENU-102,Noblemen Whisky,Spirit,0,1,550000,1
43,MENU-037,Kawa KAwa,Anggur,0,1,80000,1
44,MENU-048,Marlboro Light,Cigarette,0,1,65000,1
45,MENU-004,Kaki Naga,Food,0,1,25000,1
46,MENU-014,Jus Melon,Beverage,0,1,20000,1
47,MENU-009,Es teh manis pitcher,Beverage,0,1,15000,1
