No,Tanggal Operasional (Shift),Omzet Room (Rp),Omzet F&B Riil (Rp),Omzet LC (Rp),Grand Total (Rp),F&B Terbayar/Paid (Rp),F&B Piutang/Unpaid (Rp),Jumlah Sesi Transaksi
1,2026-07-31,975000,4555000,1985000,7515000,4555000,0,19
2,2026-08-01,4740000,5273000,7625000,17638000,5273000,0,21
3,2026-08-02,1305000,3271000,0,5326000,3271000,0,7
4,2026-08-03,2797500,7968000,6250000,17015500,6323000,1645000,10
5,2026-08-04,6942500,6202000,7000000,20144500,6202000,0,15
6,2026-08-05,1535000,5271000,6250000,12966000,5271000,0,8
7,2026-08-06,1120000,1538000,875000,3533000,1538000,0,5
8,2026-08-07,4080000,5349000,7750000,17179000,5349000,0,11
9,2026-08-08,3530000,2713000,4375000,10618000,2713000,0,8
10,2026-08-10,4120000,3275000,8125000,15520000,3275000,0,12
11,2026-08-11,2175000,4427000,1500000,8102000,220000,4207000,10
12,2026-08-12,1520000,1306000,2125000,4951000,591000,715000,4
